std_competency,domain,unit,baseline_raw_name,midline_raw_name,baseline_value_in_series,midline_value_in_series,baseline_mean,midline_mean,mean_change,midline_pct_zero_band,comparison_status,note
listening_comprehension,literacy,pct,Listening Comprehension,Listening Comprehension,62.849999999999994,38.0,62.849999999999994,,,9.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
oral_vocabulary,literacy,pct,Oral Vocabulary,Oral Vocabulary,96.80000000000001,100.0,96.80000000000001,,,0.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
picture_comprehension,literacy,pct,Picture Comprehension,Picture Comprehension,93.35,91.0,93.35,,,0.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
word_reading,literacy,pct,Word Reading Untimed,Word Reading (Untimed),59.8,70.0,59.8,,,5.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
sentence_reading,literacy,pct,Sentence Reading,Sentence Reading,47.4,57.0,47.4,,,22.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
reading_comprehension,literacy,pct,Reading Comprehension,Reading Comprehension,47.8,47.0,47.8,,,27.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
letter_writing,literacy,pct,Letter Writing,Letter Writing,78.3,80.0,78.3,84.0,5.700000000000003,8.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
word_writing,literacy,pct,Word Writing,Word Writing,37.7,43.0,37.7,58.0,20.299999999999997,16.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
letter_naming_fluency,literacy,cpm,Letter Naming Timed,Letter Naming (Timed),,,34.400000000000006,,,2.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
word_reading_fluency,literacy,cpm,Word Reading Timed,Word Reading (Timed),,,17.950000000000003,,,6.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
oral_reading_fluency,literacy,cpm,Oral Reading Fluency,Oral Reading Fluency,,38.0,28.6,35.0,6.399999999999999,8.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
measurement,numeracy,pct,Measurement,Measurement,83.85,72.0,83.85,93.0,9.150000000000006,0.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
place_value_bundles,numeracy,pct,Counting In Bundles,Counting in Bundles,60.1,29.0,60.1,,,11.0,baseline_mean + midline_bands_only,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
number_recognition,numeracy,pct,Number Identification Untimed,Number Identification Untimed,69.8,52.0,69.8,73.0,3.200000000000003,2.0,both_means,In the trend series the baseline enters as % correct and the midline as its >75% top band; compare like with like via baseline_mean vs midline_mean
