view,period_type,period,source_tool,panel_id,index_scope,std_competency,domain,n,stacking_status,reliability_flags,panel_n_competencies,metric,value,n_distinct_scores,band_source
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,letter_recognition,literacy,175.0,stack,,4.0,pct_students_cleared,84.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,letter_recognition,literacy,175.0,stack,,4.0,z_within_panel,1.1433093070069773,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,letter_recognition,literacy,175.0,stack,,4.0,percentile_within_panel,100.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,letter_recognition,literacy,175.0,stack,,4.0,rank_within_panel,1.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,sentence_reading,literacy,175.0,stack,perfect_score_required,4.0,pct_students_cleared,42.857142857142854,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,sentence_reading,literacy,175.0,stack,perfect_score_required,4.0,z_within_panel,-1.4493921136072712,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,sentence_reading,literacy,175.0,stack,perfect_score_required,4.0,percentile_within_panel,25.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,sentence_reading,literacy,175.0,stack,perfect_score_required,4.0,rank_within_panel,4.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,word_reading,literacy,175.0,stack,,4.0,pct_students_cleared,76.57142857142857,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,word_reading,literacy,175.0,stack,,4.0,z_within_panel,0.6751826616182934,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,word_reading,literacy,175.0,stack,,4.0,percentile_within_panel,75.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,word_reading,literacy,175.0,stack,,4.0,rank_within_panel,2.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,word_writing,literacy,175.0,stack,,4.0,pct_students_cleared,60.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|literacy,literacy,word_writing,literacy,175.0,stack,,4.0,z_within_panel,-0.36909985501800086,,
