period_type,period,row_type,source_tool,source_tool_label,includes_did,has_clearance_value,n_students,literacy_pct_cleared,numeracy_pct_cleared,overall_pct_cleared,change_literacy_pp_vs_prev,change_numeracy_pp_vs_prev,change_overall_pp_vs_prev,literacy_mean_pct_score,numeracy_mean_pct_score,overall_mean_pct_score,literacy_n_competencies,numeracy_n_competencies,literacy_competencies,numeracy_competencies,pooling_method,coverage_note,tool_family,same_tool_family_as_prev,change_defensibility
month,2025-08,trend_point,pooled:aug_tool+july_tool,Aug tool / Q2 2025 tool + July tool (used 4-8 Aug 2025),False,True,51.0,64.2156862745098,68.4313725490196,66.32352941176471,,,,82.76143790849673,73.38235294117646,78.0718954248366,,,letter_recognition|oral_language_dev|oral_reading_fluency|word_writing || oral_language_dev|oral_reading_fluency|word_writing,addition_1digit|number_comparison|place_value_bundles|subtraction_1digit || add_sub_1digit_combined|number_comparison|pattern|place_value_bundles|shapes_2d,n_weighted,,aug_tool+july_tool,,
month,2025-08,source_detail,aug_tool,Aug tool / Q2 2025 tool,False,True,22.0,67.04545454545455,75.0,71.02272727272728,,,,80.49242424242424,77.8409090909091,79.16666666666666,4.0,4.0,letter_recognition|oral_language_dev|oral_reading_fluency|word_writing,addition_1digit|number_comparison|place_value_bundles|subtraction_1digit,,,aug_tool,,
month,2025-08,source_detail,july_tool,July tool (used 4-8 Aug 2025),False,True,29.0,62.06896551724138,63.44827586206895,62.75862068965516,,,,84.48275862068965,70.0,77.24137931034483,3.0,5.0,oral_language_dev|oral_reading_fluency|word_writing,add_sub_1digit_combined|number_comparison|pattern|place_value_bundles|shapes_2d,,,july_tool,,
month,2025-09,trend_point,aug_tool,Aug tool / Q2 2025 tool,False,True,59.0,72.17514124293784,78.8135593220339,75.49435028248587,7.959454968428034,10.382186773014297,9.170820870721158,84.25141242937855,80.29661016949153,82.27401129943505,4.0,4.0,letter_recognition|oral_language_dev|oral_reading_fluency|word_writing,addition_1digit|number_comparison|place_value_bundles|subtraction_1digit,single_source,,aug_tool,False,cross_tool_caveat
month,2025-09,source_detail,aug_tool,Aug tool / Q2 2025 tool,False,True,59.0,72.17514124293784,78.8135593220339,75.49435028248587,,,,84.25141242937855,80.29661016949153,82.27401129943505,4.0,4.0,letter_recognition|oral_language_dev|oral_reading_fluency|word_writing,addition_1digit|number_comparison|place_value_bundles|subtraction_1digit,,,aug_tool,,
month,2025-10,trend_point,q3_2025_tool,Q3 2025 tool,False,True,20.0,54.99999999999999,67.0,61.0,-17.175141242937848,-11.813559322033896,-14.494350282485868,67.34375,66.08333333333334,66.71354166666667,5.0,5.0,letter_recognition|oral_reading_fluency|reading_comprehension|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,single_source,,q3_2025_tool,False,cross_tool_caveat
month,2025-10,source_detail,q3_2025_tool,Q3 2025 tool,False,True,20.0,54.99999999999999,67.0,61.0,,,,67.34375,66.08333333333334,66.71354166666667,5.0,5.0,letter_recognition|oral_reading_fluency|reading_comprehension|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,,,q3_2025_tool,,
month,2025-11,trend_point,q3_2025_tool,Q3 2025 tool,False,True,66.0,54.242424242424235,65.15151515151516,59.696969696969695,-0.7575757575757578,-1.8484848484848442,-1.3030303030303045,66.42992424242425,65.27777777777779,65.85385101010101,5.0,5.0,letter_recognition|oral_reading_fluency|reading_comprehension|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,single_source,,q3_2025_tool,True,within_tool
month,2025-11,source_detail,q3_2025_tool,Q3 2025 tool,False,True,66.0,54.242424242424235,65.15151515151516,59.696969696969695,,,,66.42992424242425,65.27777777777779,65.85385101010101,5.0,5.0,letter_recognition|oral_reading_fluency|reading_comprehension|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,,,q3_2025_tool,,
month,2025-11,source_detail,did_baseline,DiD baseline (Nov 2025),True,True,,65.5,57.690625,61.5953125,,,,65.5,57.690625,61.5953125,8.0,16.0,letter_writing|listening_comprehension|oral_vocabulary|picture_comprehension|reading_comprehension|sentence_reading|word_reading|word_writing,addition_2digit|data_handling|measurement|money|multiplication|number_comparison|number_pattern|number_recognition|number_writing|place_value_bundles|shape_pattern|shapes_1|shapes_2|subtraction_2digit|word_problem_addition|word_problem_subtraction,,"Baseline value = DiD mean % correct taken directly (not a 75% clearance rate); 24 % items, CPM items excluded",did,,
month,2025-11,reference_point,did_baseline,DiD baseline (Nov 2025),True,True,,65.5,57.690625,61.5953125,,,,65.5,57.690625,61.5953125,8.0,16.0,letter_writing|listening_comprehension|oral_vocabulary|picture_comprehension|reading_comprehension|sentence_reading|word_reading|word_writing,addition_2digit|data_handling|measurement|money|multiplication|number_comparison|number_pattern|number_recognition|number_writing|place_value_bundles|shape_pattern|shapes_1|shapes_2|subtraction_2digit|word_problem_addition|word_problem_subtraction,single_source,"Baseline value = DiD mean % correct taken directly (not a 75% clearance rate); 24 % items, CPM items excluded",did,,
month,2025-12,trend_point,q3_2025_tool,Q3 2025 tool,False,True,37.0,43.78378378378378,56.75675675675676,50.270270270270274,-10.458640458640453,-8.394758394758398,-9.426699426699422,54.138513513513516,56.396396396396405,55.26745495495496,5.0,5.0,letter_recognition|oral_reading_fluency|reading_comprehension|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,single_source,,q3_2025_tool,True,within_tool
month,2025-12,source_detail,q3_2025_tool,Q3 2025 tool,False,True,37.0,43.78378378378378,56.75675675675676,50.270270270270274,,,,54.138513513513516,56.396396396396405,55.26745495495496,5.0,5.0,letter_recognition|oral_reading_fluency|reading_comprehension|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,,,q3_2025_tool,,
month,2026-03,trend_point,did_midline,25-26 End of Year (Mar 2026),True,True,177.0,57.36363636363637,34.92307692307692,46.14335664335664,13.579852579852584,-21.833679833679838,-4.126913626913634,56.25,55.875,56.0625,11.0,13.0,independent_writing|letter_writing|listening_comprehension|oral_reading_fluency|oral_vocabulary|picture_comprehension|reading_comprehension|sentence_reading|sentence_writing|word_reading|word_writing,addition_2digit|data_handling|measurement|multiplication|number_comparison|number_pattern|number_recognition|number_writing|place_value_bundles|shapes_midline_unspecified|subtraction_2digit|word_problem_addition|word_problem_subtraction,single_source,"Midline clearance = slide top band (>75%, strictly above); students at exactly 75% are not counted",did,False,cross_tool_caveat
month,2026-03,source_detail,did_midline,25-26 End of Year (Mar 2026),True,True,177.0,57.36363636363637,34.92307692307692,46.14335664335664,,,,56.25,55.875,56.0625,11.0,13.0,independent_writing|letter_writing|listening_comprehension|oral_reading_fluency|oral_vocabulary|picture_comprehension|reading_comprehension|sentence_reading|sentence_writing|word_reading|word_writing,addition_2digit|data_handling|measurement|multiplication|number_comparison|number_pattern|number_recognition|number_writing|place_value_bundles|shapes_midline_unspecified|subtraction_2digit|word_problem_addition|word_problem_subtraction,,"Midline clearance = slide top band (>75%, strictly above); students at exactly 75% are not counted",did,,
month,2026-04,trend_point,q1_2026_tool,Q1 2026 tool (G2 battery),False,True,85.0,67.64705882352942,60.0,63.82352941176471,10.283422459893053,25.07692307692308,17.68017276840807,70.0370588235294,69.02211764705882,69.52958823529411,4.0,5.0,letter_recognition|sentence_reading|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,single_source,,2026_tool,False,cross_tool_caveat
month,2026-04,source_detail,q1_2026_tool,Q1 2026 tool (G2 battery),False,True,85.0,67.64705882352942,60.0,63.82352941176471,,,,70.0370588235294,69.02211764705882,69.52958823529411,4.0,5.0,letter_recognition|sentence_reading|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,,,2026_tool,,
month,2026-05,trend_point,q1_2026_tool,Q1 2026 tool (G2 battery),False,True,90.0,64.16666666666667,70.22222222222223,67.19444444444446,-3.4803921568627487,10.222222222222229,3.370915032679747,70.43833333333335,77.7611111111111,74.09972222222223,4.0,5.0,letter_recognition|sentence_reading|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,single_source,,2026_tool,True,within_tool
month,2026-05,source_detail,q1_2026_tool,Q1 2026 tool (G2 battery),False,True,90.0,64.16666666666667,70.22222222222223,67.19444444444446,,,,70.43833333333335,77.7611111111111,74.09972222222223,4.0,5.0,letter_recognition|sentence_reading|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,,,2026_tool,,
month,2026-07,trend_point,q2_2026_tool,Q2 2026 tool,False,True,963.0,57.76220145379024,57.383177570093444,57.572689511941846,-6.404465212876431,-12.839044652128784,-9.621754932502611,63.943665628245064,67.70182762201453,65.8227466251298,4.0,5.0,letter_recognition|sentence_reading|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,single_source,,2026_tool,True,within_tool
month,2026-07,source_detail,q2_2026_tool,Q2 2026 tool,False,True,963.0,57.76220145379024,57.383177570093444,57.572689511941846,,,,63.943665628245064,67.70182762201453,65.8227466251298,4.0,5.0,letter_recognition|sentence_reading|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,,,2026_tool,,
month,2026-08,trend_point,q2_2026_tool,Q2 2026 tool,False,True,398.0,56.21859296482412,55.37688442211054,55.79773869346733,-1.5436084889661217,-2.006293147982902,-1.7749508184745153,62.821733668341714,66.06939698492462,64.44556532663317,4.0,5.0,letter_recognition|sentence_reading|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,single_source,,2026_tool,True,within_tool
month,2026-08,source_detail,q2_2026_tool,Q2 2026 tool,False,True,398.0,56.21859296482412,55.37688442211054,55.79773869346733,,,,62.821733668341714,66.06939698492462,64.44556532663317,4.0,5.0,letter_recognition|sentence_reading|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,,,2026_tool,,
quarter,Q2_2025,trend_point,pooled:aug_tool+july_tool,Aug tool / Q2 2025 tool + July tool (used 4-8 Aug 2025),False,True,110.0,68.48484848484848,74.0,71.24242424242425,,,,83.56060606060605,77.0909090909091,80.32575757575756,,,letter_recognition|oral_language_dev|oral_reading_fluency|word_writing || oral_language_dev|oral_reading_fluency|word_writing,addition_1digit|number_comparison|place_value_bundles|subtraction_1digit || add_sub_1digit_combined|number_comparison|pattern|place_value_bundles|shapes_2d,n_weighted,,aug_tool+july_tool,,
quarter,Q2_2025,source_detail,aug_tool,Aug tool / Q2 2025 tool,False,True,81.0,70.78189300411523,77.77777777777779,74.27983539094652,,,,83.23045267489711,79.62962962962963,81.43004115226337,4.0,4.0,letter_recognition|oral_language_dev|oral_reading_fluency|word_writing,addition_1digit|number_comparison|place_value_bundles|subtraction_1digit,,,aug_tool,,
quarter,Q2_2025,source_detail,july_tool,July tool (used 4-8 Aug 2025),False,True,29.0,62.06896551724138,63.44827586206895,62.75862068965516,,,,84.48275862068965,70.0,77.24137931034483,3.0,5.0,oral_language_dev|oral_reading_fluency|word_writing,add_sub_1digit_combined|number_comparison|pattern|place_value_bundles|shapes_2d,,,july_tool,,
quarter,Q3_2025,trend_point,q3_2025_tool,Q3 2025 tool,False,True,123.0,51.21951219512195,62.926829268292686,57.07317073170732,-17.265336289726534,-11.073170731707314,-14.169253510716928,62.88109756097561,62.737127371273715,62.80911246612466,5.0,5.0,letter_recognition|oral_reading_fluency|reading_comprehension|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,single_source,,q3_2025_tool,False,cross_tool_caveat
quarter,Q3_2025,source_detail,q3_2025_tool,Q3 2025 tool,False,True,123.0,51.21951219512195,62.926829268292686,57.07317073170732,,,,62.88109756097561,62.737127371273715,62.80911246612466,5.0,5.0,letter_recognition|oral_reading_fluency|reading_comprehension|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,,,q3_2025_tool,,
quarter,Q3_2025,source_detail,did_baseline,DiD baseline (Nov 2025),True,True,,65.5,57.690625,61.5953125,,,,65.5,57.690625,61.5953125,8.0,16.0,letter_writing|listening_comprehension|oral_vocabulary|picture_comprehension|reading_comprehension|sentence_reading|word_reading|word_writing,addition_2digit|data_handling|measurement|money|multiplication|number_comparison|number_pattern|number_recognition|number_writing|place_value_bundles|shape_pattern|shapes_1|shapes_2|subtraction_2digit|word_problem_addition|word_problem_subtraction,,"Baseline value = DiD mean % correct taken directly (not a 75% clearance rate); 24 % items, CPM items excluded",did,,
quarter,Q3_2025,reference_point,did_baseline,DiD baseline (Nov 2025),True,True,,65.5,57.690625,61.5953125,,,,65.5,57.690625,61.5953125,8.0,16.0,letter_writing|listening_comprehension|oral_vocabulary|picture_comprehension|reading_comprehension|sentence_reading|word_reading|word_writing,addition_2digit|data_handling|measurement|money|multiplication|number_comparison|number_pattern|number_recognition|number_writing|place_value_bundles|shape_pattern|shapes_1|shapes_2|subtraction_2digit|word_problem_addition|word_problem_subtraction,single_source,"Baseline value = DiD mean % correct taken directly (not a 75% clearance rate); 24 % items, CPM items excluded",did,,
quarter,Q4_2025,trend_point,did_midline,25-26 End of Year (Mar 2026),True,True,177.0,57.36363636363637,34.92307692307692,46.14335664335664,6.144124168514416,-28.003752345215766,-10.929814088350682,56.25,55.875,56.0625,11.0,13.0,independent_writing|letter_writing|listening_comprehension|oral_reading_fluency|oral_vocabulary|picture_comprehension|reading_comprehension|sentence_reading|sentence_writing|word_reading|word_writing,addition_2digit|data_handling|measurement|multiplication|number_comparison|number_pattern|number_recognition|number_writing|place_value_bundles|shapes_midline_unspecified|subtraction_2digit|word_problem_addition|word_problem_subtraction,single_source,"Midline clearance = slide top band (>75%, strictly above); students at exactly 75% are not counted",did,False,cross_tool_caveat
quarter,Q4_2025,source_detail,did_midline,25-26 End of Year (Mar 2026),True,True,177.0,57.36363636363637,34.92307692307692,46.14335664335664,,,,56.25,55.875,56.0625,11.0,13.0,independent_writing|letter_writing|listening_comprehension|oral_reading_fluency|oral_vocabulary|picture_comprehension|reading_comprehension|sentence_reading|sentence_writing|word_reading|word_writing,addition_2digit|data_handling|measurement|multiplication|number_comparison|number_pattern|number_recognition|number_writing|place_value_bundles|shapes_midline_unspecified|subtraction_2digit|word_problem_addition|word_problem_subtraction,,"Midline clearance = slide top band (>75%, strictly above); students at exactly 75% are not counted",did,,
quarter,Q1_2026,trend_point,q1_2026_tool,Q1 2026 tool (G2 battery),False,True,175.0,65.85714285714286,65.25714285714285,65.55714285714285,8.493506493506494,30.334065934065933,19.41378621378621,70.24342857142857,73.51645714285715,71.87994285714285,4.0,5.0,letter_recognition|sentence_reading|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,single_source,,2026_tool,False,cross_tool_caveat
quarter,Q1_2026,source_detail,q1_2026_tool,Q1 2026 tool (G2 battery),False,True,175.0,65.85714285714286,65.25714285714285,65.55714285714285,,,,70.24342857142857,73.51645714285715,71.87994285714285,4.0,5.0,letter_recognition|sentence_reading|word_reading|word_writing,addition|number_recognition|pattern|place_value_bundles|subtraction,,,2026_tool,,
