raw_competency,intervention,control,unit,domain
Listening Comprehension,63.3,62.4,pct,literacy
Oral Vocabulary,96.7,96.9,pct,literacy
Picture Comprehension,93.1,93.6,pct,literacy
Word Reading Untimed,58.4,61.2,pct,literacy
Sentence Reading,44.8,50.0,pct,literacy
Reading Comprehension,46.6,49.0,pct,literacy
Letter Writing,80.1,76.5,pct,literacy
Word Writing,36.3,39.1,pct,literacy
Letter Naming Timed,33.2,35.6,cpm,literacy
Word Reading Timed,17.1,18.8,cpm,literacy
Oral Reading Fluency,27.1,30.1,cpm,literacy
Measurement,84.2,83.5,pct,numeracy
Counting In Bundles,58.1,62.1,pct,numeracy
Number Identification Untimed,69.8,69.8,pct,numeracy
Number Comparison,70.4,64.5,pct,numeracy
Number Pattern,29.0,27.4,pct,numeracy
Addition Level 2,59.7,60.6,pct,numeracy
Subtraction Level 2,50.9,50.1,pct,numeracy
Shape Pattern,36.8,36.9,pct,numeracy
Word Problem - Addition,62.6,62.4,pct,numeracy
Word Problem - Subtraction,33.4,34.3,pct,numeracy
Multiplication,82.3,78.0,pct,numeracy
Data Handling,67.3,63.0,pct,numeracy
Shapes 1,85.0,86.0,pct,numeracy
Shapes 2,11.0,5.2,pct,numeracy
Money,63.1,65.7,pct,numeracy
Number Writing,65.8,67.2,pct,numeracy
